No.,Name,Pos,Ht,Wt,Birth Date,,Exp,College,City,Team,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Avery Bradley,SG,6-2,180,"November 26, 1990",us,6,University of Texas at Austin,Boston,Celtics,Avery Bradley,26,50,50,33.4,6.7,14.3,0.469,2,5,0.402,4.7,9.3,0.504,0.539,1.2,1.7,0.735,1.2,5,6.2,2.2,1.3,0.2,1.7,2.5,16.6
41,Kelly Olynyk,C,7-0,238,"April 19, 1991",ca,3,Gonzaga University,Boston,Celtics,Kelly Olynyk,25,70,5,20.5,3.4,6.6,0.517,0.9,2.5,0.364,2.5,4.1,0.611,0.586,1.2,1.6,0.728,1,3.7,4.7,1.9,0.6,0.4,1.3,2.7,9
4,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us,5,University of Washington,Boston,Celtics,Isaiah Thomas,27,71,71,34,9,19.5,0.463,3.3,8.5,0.383,5.8,11,0.524,0.546,7.8,8.6,0.911,0.5,2.1,2.6,5.9,0.9,0.1,2.7,2.2,29.1
36,Marcus Smart,PG,6-4,220,"March 6, 1994",us,2,Oklahoma State University,Boston,Celtics,Marcus Smart,22,74,24,30.4,3.5,9.6,0.361,1.1,4.1,0.275,2.3,5.5,0.425,0.42,2.6,3.2,0.809,1,2.9,3.9,4.5,1.6,0.4,2.1,2.4,10.6
13,James Young,SG,6-6,215,"August 16, 1995",us,2,University of Kentucky,Boston,Celtics,James Young,21,27,0,7.9,0.9,2.1,0.439,0.4,1.3,0.353,0.5,0.9,0.565,0.544,0.2,0.3,0.714,0.2,0.7,1,0.1,0.3,0.1,0.1,0.6,2.5
12,Terry Rozier,PG,6-2,190,"March 17, 1994",us,1,University of Louisville,Boston,Celtics,Terry Rozier,22,71,0,17.5,2.1,5.7,0.368,0.8,2.5,0.322,1.3,3.2,0.404,0.438,0.7,0.9,0.781,0.5,2.6,3.1,1.8,0.6,0.2,0.7,0.9,5.7
99,Jae Crowder,SF,6-6,235,"July 6, 1990",us,4,Marquette University,Boston,Celtics,Jae Crowder,26,67,67,32.4,4.5,10,0.454,2.1,5.5,0.39,2.4,4.5,0.532,0.561,2.5,3.1,0.829,0.6,5.1,5.8,2.1,1,0.3,1.1,2.2,13.7
8,Jonas Jerebko,PF,6-10,231,"March 2, 1987",se,6,,Boston,Celtics,Jonas Jerebko,29,73,6,16.1,1.5,3.4,0.438,0.6,1.7,0.336,0.9,1.7,0.535,0.52,0.3,0.4,0.774,0.8,2.7,3.5,0.8,0.4,0.2,0.5,1.6,3.9
90,Amir Johnson,PF,6-9,240,"May 1, 1987",us,11,,Boston,Celtics,Amir Johnson,29,76,73,20.2,2.7,4.6,0.574,0.3,0.8,0.403,2.3,3.8,0.61,0.609,0.8,1.3,0.663,1.5,3.1,4.6,1.7,0.6,0.8,1,2.6,6.5
55,Jordan Mickey,PF,6-8,235,"July 9, 1994",us,1,Louisiana State University,Boston,Celtics,Jordan Mickey,22,23,1,5.9,0.7,1.4,0.455,0,0,0,0.7,1.4,0.469,0.455,0.3,0.5,0.583,0.6,0.8,1.4,0.3,0.1,0.2,0.4,0.5,1.6
